PLAYER_NAME,Anatomical sub-areas,TEAM_ABBREVIATION (groups),Average of recovery_time, Sum of team_losses ,Count of SEASON_ID, Avg Cost per Season , Average of salaries INF ,Avg Cost per Seasons
Kyrie Irving,Foot area,BKN & NJN,13," $8,526,132.80 ",1," $8,526,132.80 "," $36,662,371.00 "," $8,526,132.80 "
Patrick Beverley,Calf area,HOU,100.5," $8,503,401.40 ",1," $8,503,401.40 "," $15,873,016.00 "," $8,503,401.40 "
Jarrett Allen,"Hand, Thumb & Fingers area",CLE,251," $8,495,478.20 ",1," $8,495,478.20 "," $22,471,910.00 "," $8,495,478.20 "
Bam Adebayo,"Hand, Thumb & Fingers area",MIA,47," $8,424,719.00 ",1," $8,424,719.00 "," $36,629,213.00 "," $8,424,719.00 "
Jose Calderon,Heel area,NYK,335," $8,388,055.20 ",1," $8,388,055.20 "," $9,294,872.00 "," $8,388,055.20 "
Iman Shumpert,Thigh area,HOU,-1," $8,366,800.70 ",1," $8,366,800.70 "," $12,048,193.00 "," $8,366,800.70 "
David Lee,Foot area,BOS,268," $8,352,758.30 ",1," $8,352,758.30 "," $17,094,017.00 "," $8,352,758.30 "
Victor Oladipo,Thigh area,IND,23.5," $8,333,333.30 ",1," $8,333,333.30 "," $25,000,000.00 "," $8,333,333.30 "
Mitch Richmond,Knee area,WAS,17.67," $8,332,352.20 ",1," $8,332,352.20 "," $14,853,323.40 "," $8,332,352.20 "
Lance Stephenson,Toes area,CHA & CHH,317," $8,302,064.10 ",1," $8,302,064.10 "," $11,538,462.00 "," $8,302,064.10 "
Kyle Lowry,Knee area,MIA,8.17," $8,247,422.70 ",1," $8,247,422.70 "," $30,927,835.00 "," $8,247,422.70 "
Toni Kukoc,"Hand, Thumb & Fingers area",ATL,124," $8,235,448.30 ",1," $8,235,448.30 "," $11,445,877.40 "," $8,235,448.30 "
Taj Gibson,Calf area,MIN,277," $8,228,034.10 ",1," $8,228,034.10 "," $16,867,470.00 "," $8,228,034.10 "
Danny Green,Knee area,PHI,158," $8,092,229.00 ",1," $8,092,229.00 "," $10,309,278.00 "," $8,092,229.00 "
Draymond Green,Calf area,GSW,63," $8,078,543.70 ",1," $8,078,543.70 "," $28,005,618.00 "," $8,078,543.70 "
Theo Ratliff,Knee area,MIN,48," $8,072,022.40 ",1," $8,072,022.40 "," $14,389,257.40 "," $8,072,022.40 "
Blake Griffin,Thigh area,DET,11," $8,066,378.10 ",1," $8,066,378.10 "," $40,952,381.00 "," $8,066,378.10 "
Calvin Booth,Unclassified,OKC & SEA,52.33," $8,045,139.70 ",1," $8,045,139.70 "," $8,457,711.00 "," $8,045,139.70 "
Tony Snell,Heel area,MIL,109.5," $8,044,582.10 ",1," $8,044,582.10 "," $13,647,059.00 "," $8,044,582.10 "
Garrett Temple,Shoulder area,SAC,341," $7,992,947.20 ",1," $7,992,947.20 "," $9,638,554.00 "," $7,992,947.20 "
